Title,Name,OrderIndex,DataType,Address,Length
IO_07,P.Error,4,Bit,D7439.4,1
IO_07,Spare,5,Bit,D7439.5,1
IO_07,P.Online,6,Bit,D7439.6,1
IO_07,P.E-STOP,7,Bit,D7439.7,1
IO_07,Transferring_FromSTK,8,Bit,D7439.8,1
IO_07,TR_REQ_FromSTK,9,Bit,D7439.9,1
IO_07,BUSY_FromSTK,10,Bit,D7439.A,1
IO_07,COMPLETE_FromSTK,11,Bit,D7439.B,1
IO_07,CRANE_1_FromSTK,12,Bit,D7439.C,1
IO_07,CRANE_2_FromSTK,13,Bit,D7439.D,1
IO_07,A.Error_FromSTK,14,Bit,D7439.E,1
IO_07,ForkNumber_FromSTK,15,Bit,D7439.F,1
IO_08,L_REQ,0,Bit,D7599.0,1
IO_08,U_REQ,1,Bit,D7599.1,1
IO_08,Ready,2,Bit,D7599.2,1
IO_08,CARRIER,3,Bit,D7599.3,1
IO_08,P.Error,4,Bit,D7599.4,1
IO_08,Spare,5,Bit,D7599.5,1
IO_08,P.Online,6,Bit,D7599.6,1
IO_08,P.E-STOP,7,Bit,D7599.7,1
IO_08,Transferring_FromSTK,8,Bit,D7599.8,1
IO_08,TR_REQ_FromSTK,9,Bit,D7599.9,1
IO_08,BUSY_FromSTK,10,Bit,D7599.A,1
IO_08,COMPLETE_FromSTK,11,Bit,D7599.B,1
IO_08,CRANE_1_FromSTK,12,Bit,D7599.C,1
IO_08,CRANE_2_FromSTK,13,Bit,D7599.D,1
IO_08,A.Error_FromSTK,14,Bit,D7599.E,1
IO_08,ForkNumber_FromSTK,15,Bit,D7599.F,1
IO_09,L_REQ,0,Bit,D7759.0,1
IO_09,U_REQ,1,Bit,D7759.1,1
IO_09,Ready,2,Bit,D7759.2,1
IO_09,CARRIER,3,Bit,D7759.3,1
IO_09,P.Error,4,Bit,D7759.4,1
IO_09,Spare,5,Bit,D7759.5,1
IO_09,P.Online,6,Bit,D7759.6,1
IO_09,P.E-STOP,7,Bit,D7759.7,1
